song,artist
N 2 Deep,Drake Featuring Future
Bad Habits,Ed Sheeran
Pipe Down,Drake
Good 4 U,Olivia Rodrigo
7am On Bridle Path,Drake
Butter,BTS
Race My Mind,Drake
Kiss Me More,Doja Cat Featuring SZA
Industry Baby,Lil Nas X & Jack Harlow
Fancy Like,Walker Hayes
IMY2,Drake Featuring Kid Cudi
Levitating,Dua Lipa
Yebba's Heartbreak,Drake & Yebba
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross
Fountains,Drake Featuring Tems
Get Along Better,Drake Featuring Ty Dolla $ign
Save Your Tears,The Weeknd & Ariana Grande
Hurricane,Kanye West
Montero (Call Me By Your Name),Lil Nas X
Deja Vu,Olivia Rodrigo
Fucking Fans,Drake
Heat Waves,Glass Animals
Essence,Wizkid Featuring Justin Bieber & Tems
The Remorse,Drake
You Right,Doja Cat & The Weeknd
Take My Breath,The Weeknd
Need To Know,Doja Cat
Beggin',Maneskin
Leave Before You Love Me,Marshmello X Jonas Brothers
Off The Grid,Kanye West
Happier Than Ever,Billie Eilish
If I Didn't Love You,Jason Aldean & Carrie Underwood
Family Ties,Baby Keem & Kendrick Lamar
Pepas,Farruko
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Waves,Luke Bryan
Traitor,Olivia Rodrigo
Moon,Kanye West
Things A Man Oughta Know,Lainey Wilson
Country Again,Thomas Rhett
Chasing After You,Ryan Hurd With Maren Morris
Arcade,Duncan Laurence
Rumors,Lizzo Featuring Cardi B
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
Thot Shit,Megan Thee Stallion
Jail,Kanye West
Late At Night,Roddy Ricch
A-O-K,Tai Verdes
I Was On A Boat That Day,Old Dominion
Wockesha,Moneybagg Yo
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Ok Ok,Kanye West
Praise God,Kanye West
Skate,Silk Sonic (Bruno Mars & Anderson _Paak)
Whole Lotta Money,BIA Featuring Nicki Minaj
Love Again,Dua Lipa
Memory I Don't Mess With,Lee Brice
Drinkin' Beer_ Talkin' God_ Amen_,Chase Rice Featuring Florida Georgia Line
You Time,Scotty McCreery
Todo de Ti,Rauw Alejandro
Buy Dirt,Jordan Davis Featuring Luke Bryan
2055,Sleepy Hallow
Cold As You,Luke Combs
Volvi,Aventura x Bad Bunny
Junya,Kanye West
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Woman,Doja Cat
We Didn't Have Much,Justin Moore
Gyalis,Capella Grey
Wild Side,Normani Featuring Cardi B
Yonaguni,Bad Bunny
Believe What I Say,Kanye West
Memory,Kane Brown X blackbear
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert
Get Into It (Yuh),Doja Cat
My Boy,Elvie Shane
Single Saturday Night,Cole Swindell
Jonah,Kanye West
You Should Probably Leave,Chris Stapleton
Don't Go Yet,Camila Cabello
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Jesus Lord,Kanye West
Summer Of Love,Shawn Mendes & Tainy
Ain't Shit,Doja Cat
Motley Crew,Post Malone
Remote Control,Kanye West
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Butter,BTS
Stay,The Kid LAROI & Justin Bieber
Bad Habits,Ed Sheeran
Good 4 U,Olivia Rodrigo
Kiss Me More,Doja Cat Featuring SZA
Hurricane,Kanye West
Industry Baby,Lil Nas X & Jack Harlow
Levitating,Dua Lipa
Fancy Like,Walker Hayes
Jail,Kanye West
Off The Grid,Kanye West
Ok Ok,Kanye West
Deja Vu,Olivia Rodrigo
Save Your Tears,The Weeknd & Ariana Grande
Montero (Call Me By Your Name),Lil Nas X
Junya,Kanye West
Moon,Kanye West
Family Ties,Baby Keem & Kendrick Lamar
Essence,Wizkid Featuring Justin Bieber & Tems
Praise God,Kanye West
You Right,Doja Cat & The Weeknd
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
Heat Waves,Glass Animals
Need To Know,Doja Cat
Take My Breath,The Weeknd
Jesus Lord,Kanye West
Jonah,Kanye West
Believe What I Say,Kanye West
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
God Breathed,Kanye West
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Rumors,Lizzo Featuring Cardi B
Leave Before You Love Me,Marshmello X Jonas Brothers
Heartbreak Anniversary,Giveon
Beggin',Maneskin
Pepas,Farruko
Waves,Luke Bryan
Happier Than Ever,Billie Eilish
Traitor,Olivia Rodrigo
Remote Control,Kanye West
Forever After All,Luke Combs
Heaven And Hell,Kanye West
24,Kanye West
Arcade,Duncan Laurence
Things A Man Oughta Know,Lainey Wilson
Thot Shit,Megan Thee Stallion
Chasing After You,Ryan Hurd With Maren Morris
Late At Night,Roddy Ricch
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
If I Didn't Love You,Jason Aldean & Carrie Underwood
Country Again,Thomas Rhett
Pure Souls,Kanye West
No Child Left Behind,Kanye West
Wockesha,Moneybagg Yo
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
A-O-K,Tai Verdes
Skate,Silk Sonic (Bruno Mars & Anderson _Paak)
Donda,Kanye West
Keep My Spirit Alive,Kanye West
Whole Lotta Money,BIA Featuring Nicki Minaj
Drinkin' Beer_ Talkin' God_ Amen_,Chase Rice Featuring Florida Georgia Line
2055,Sleepy Hallow
Jail Pt 2,Kanye West
"I Am Not A Woman, I'm A God",Halsey
We Didn't Have Much,Justin Moore
Love Again,Dua Lipa
I Was On A Boat That Day,Old Dominion
New Again,Kanye West
Todo de Ti,Rauw Alejandro
Lord I Need You,Kanye West
Wild Side,Normani Featuring Cardi B
Volvi,Aventura x Bad Bunny
Yonaguni,Bad Bunny
Gyalis,Capella Grey
Memory,Kane Brown X blackbear
Woman,Doja Cat
Come To Life,Kanye West
Memory I Don't Mess With,Lee Brice
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Cold As You,Luke Combs
Get Into It (Yuh),Doja Cat
You Time,Scotty McCreery
Single Saturday Night,Cole Swindell
Buy Dirt,Jordan Davis Featuring Luke Bryan
Summer Of Love,Shawn Mendes & Tainy
Motley Crew,Post Malone
My Boy,Elvie Shane
Ain't Shit,Doja Cat
Don't Go Yet,Camila Cabello
Tell The Vision,Kanye West
You Should Probably Leave,Chris Stapleton
Come Through,H_E_R_ Featuring Chris Brown
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Knowing You,Kenny Chesney
In Da Getto,J Balvin & Skrillex
Brutal,Olivia Rodrigo
AM,Nio Garcia X J Balvin X Bad Bunny
Repeat It,Lil Tecca & Gunna
Matt Hardy 999,Trippie Redd Featuring Juice WRLD
Stay,The Kid LAROI & Justin Bieber
Bad Habits,Ed Sheeran
Good 4 U,Olivia Rodrigo
Kiss Me More,Doja Cat Featuring SZA
Industry Baby,Lil Nas X & Jack Harlow
Levitating,Dua Lipa
Butter,BTS
Deja Vu,Olivia Rodrigo
Montero (Call Me By Your Name),Lil Nas X
Save Your Tears,The Weeknd & Ariana Grande
Fancy Like,Walker Hayes
You Right,Doja Cat & The Weeknd
Essence,Wizkid Featuring Justin Bieber & Tems
Need To Know,Doja Cat
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
Take My Breath,The Weeknd
Rumors,Lizzo Featuring Cardi B
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Heartbreak Anniversary,Giveon
Blinding Lights,The Weeknd
Leave Before You Love Me,Marshmello X Jonas Brothers
Happier Than Ever,Billie Eilish
Forever After All,Luke Combs
Waves,Luke Bryan
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Pepas,Farruko
Thot Shit,Megan Thee Stallion
Traitor,Olivia Rodrigo
Beggin',Maneskin
Arcade,Duncan Laurence
Late At Night,Roddy Ricch
Things A Man Oughta Know,Lainey Wilson
Heat Waves,Glass Animals
Chasing After You,Ryan Hurd With Maren Morris
Wockesha,Moneybagg Yo
Glad You Exist,Dan + Shay
Without You,The Kid LAROI
Skate,Silk Sonic (Bruno Mars & Anderson _Paak)
Astronaut In The Ocean,Masked Wolf
Rapstar,Polo G
We Didn't Have Much,Justin Moore
Country Again,Thomas Rhett
Famous Friends,Chris Young + Kane Brown
If I Didn't Love You,Jason Aldean & Carrie Underwood
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
Lil Bit,Nelly & Florida Georgia Line
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Summer Of Love,Shawn Mendes & Tainy
Matt Hardy 999,Trippie Redd Featuring Juice WRLD
Whole Lotta Money,BIA Featuring Nicki Minaj
2055,Sleepy Hallow
A-O-K,Tai Verdes
Drinkin' Beer_ Talkin' God_ Amen_,Chase Rice Featuring Florida Georgia Line
Love Again,Dua Lipa
Volvi,Aventura x Bad Bunny
Rich MF,Trippie Redd Featuring Lil Durk & Polo G
Todo de Ti,Rauw Alejandro
Yonaguni,Bad Bunny
Wild Side,Normani Featuring Cardi B
Already Won,Rod Wave Featuring Lil Durk
Single Saturday Night,Cole Swindell
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
I Was On A Boat That Day,Old Dominion
Motley Crew,Post Malone
Ain't Shit,Doja Cat
Memory,Kane Brown X blackbear
Betrayal,Trippie Redd Featuring Drake
Get Into It (Yuh),Doja Cat
Don't Go,"Skrillex, Justin Bieber & Don Toliver"
Woman,Doja Cat
Don't Go Yet,Camila Cabello
Tombstone,Rod Wave
One Mississippi,Kane Brown
Gyalis,Capella Grey
Visiting Hours,Ed Sheeran
You Should Probably Leave,Chris Stapleton
Memory I Don't Mess With,Lee Brice
Holy Smokes,Trippie Redd Featuring Lil Uzi Vert
Miss The Rage,Trippie Redd & Playboi Carti
Cold As You,Luke Combs
My Boy,Elvie Shane
You,Regard x Troye Sivan x Tate McRae
Come Through,H_E_R_ Featuring Chris Brown
Buy Dirt,Jordan Davis Featuring Luke Bryan
You Time,Scotty McCreery
MP5,Trippie Redd Featuring SoFaygo
Paralyzed,Sueco
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Brutal,Olivia Rodrigo
I Guess I'm In Love,Clinton Kane
Get Ready,Rod Wave Featuring Kodak Black
Danny Phantom,Trippie Redd Featuring XXXTENTACION
What's Wrong,Rod Wave
Demon Time,Trippie Redd Featuring Ski Mask The Slump God
Knowing You,Kenny Chesney
Tick Tock,Young Thug
Permission To Dance,BTS
AM,Nio Garcia X J Balvin X Bad Bunny
Time Heals,Rod Wave
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Stay,The Kid LAROI & Justin Bieber
Bad Habits,Ed Sheeran
Good 4 U,Olivia Rodrigo
Rumors,Lizzo Featuring Cardi B
Kiss Me More,Doja Cat Featuring SZA
Levitating,Dua Lipa
Industry Baby,Lil Nas X & Jack Harlow
Butter,BTS
Deja Vu,Olivia Rodrigo
Montero (Call Me By Your Name),Lil Nas X
Save Your Tears,The Weeknd & Ariana Grande
Fancy Like,Walker Hayes
Take My Breath,The Weeknd
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
Essence,Wizkid Featuring Justin Bieber & Tems
You Right,Doja Cat & The Weeknd
Happier Than Ever,Billie Eilish
Heartbreak Anniversary,Giveon
Need To Know,Doja Cat
Blinding Lights,The Weeknd
Glad You Exist,Dan + Shay
Leave Before You Love Me,Marshmello X Jonas Brothers
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Forever After All,Luke Combs
Late At Night,Roddy Ricch
Thot Shit,Megan Thee Stallion
Rapstar,Polo G
Traitor,Olivia Rodrigo
Waves,Luke Bryan
Skate,Silk Sonic (Bruno Mars & Anderson _Paak)
Without You,The Kid LAROI
Pepas,Farruko
Heat Waves,Glass Animals
Wockesha,Moneybagg Yo
Astronaut In The Ocean,Masked Wolf
Things A Man Oughta Know,Lainey Wilson
Arcade,Duncan Laurence
Lil Bit,Nelly & Florida Georgia Line
Famous Friends,Chris Young + Kane Brown
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Beggin',Maneskin
Country Again,Thomas Rhett
Chasing After You,Ryan Hurd With Maren Morris
Volvi,Aventura x Bad Bunny
Drinkin' Beer_ Talkin' God_ Amen_,Chase Rice Featuring Florida Georgia Line
We Didn't Have Much,Justin Moore
If I Didn't Love You,Jason Aldean & Carrie Underwood
Whole Lotta Money,BIA Featuring Nicki Minaj
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
2055,Sleepy Hallow
Single Saturday Night,Cole Swindell
Motley Crew,Post Malone
Todo de Ti,Rauw Alejandro
A-O-K,Tai Verdes
Yonaguni,Bad Bunny
Wild Side,Normani Featuring Cardi B
Love Again,Dua Lipa
Ain't Shit,Doja Cat
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
You,Regard x Troye Sivan x Tate McRae
Memory,Kane Brown X blackbear
You Should Probably Leave,Chris Stapleton
Don't Go Yet,Camila Cabello
Paralyzed,Sueco
Permission To Dance,BTS
I Was On A Boat That Day,Old Dominion
Woman,Doja Cat
Tombstone,Rod Wave
My Boy,Elvie Shane
Gyalis,Capella Grey
Memory I Don't Mess With,Lee Brice
Come Through,H_E_R_ Featuring Chris Brown
You Time,Scotty McCreery
Get Into It (Yuh),Doja Cat
Buy Dirt,Jordan Davis Featuring Luke Bryan
Cold As You,Luke Combs
Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert
Papercuts,Machine Gun Kelly
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Cold Heart (PNAU Remix),Elton John & Dua Lipa
SUVs (Black On Black),Jack Harlow & Pooh Shiesty
Straightenin,Migos
Blame It On You,Jason Aldean
AM,Nio Garcia X J Balvin X Bad Bunny
Hats Off,"Lil Baby, Lil Durk & Travis Scott"
Knowing You,Kenny Chesney
Over The Top,Smiley Featuring Drake
Brainwashed,Tom MacDonald
my_life,"J_ Cole, 21 Savage & Morray"
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign"
Favorite Crime,Olivia Rodrigo
Outside,MO3 X OG Bobby Billions
Ball If I Want To,DaBaby
Next Girl,Carly Pearce
I Like Dat,T-Pain & Kehlani
Steal My Love,Dan + Shay
Repeat It,Lil Tecca & Gunna
5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez"
Stay,The Kid LAROI & Justin Bieber
Good 4 U,Olivia Rodrigo
Bad Habits,Ed Sheeran
Kiss Me More,Doja Cat Featuring SZA
Levitating,Dua Lipa
Take My Breath,The Weeknd
Butter,BTS
Industry Baby,Lil Nas X & Jack Harlow
Montero (Call Me By Your Name),Lil Nas X
Deja Vu,Olivia Rodrigo
Save Your Tears,The Weeknd & Ariana Grande
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Happier Than Ever,Billie Eilish
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
Fancy Like,Walker Hayes
You Right,Doja Cat & The Weeknd
Heartbreak Anniversary,Giveon
Blinding Lights,The Weeknd
Leave Before You Love Me,Marshmello X Jonas Brothers
Need To Know,Doja Cat
Glad You Exist,Dan + Shay
Volvi,Aventura x Bad Bunny
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Forever After All,Luke Combs
Rapstar,Polo G
Late At Night,Roddy Ricch
Lil Bit,Nelly & Florida Georgia Line
Without You,The Kid LAROI
Thot Shit,Megan Thee Stallion
Astronaut In The Ocean,Masked Wolf
Heat Waves,Glass Animals
Famous Friends,Chris Young + Kane Brown
Traitor,Olivia Rodrigo
Waves,Luke Bryan
Skate,Silk Sonic (Bruno Mars & Anderson _Paak)
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Telepatia,Kali Uchis
Drinkin' Beer_ Talkin' God_ Amen_,Chase Rice Featuring Florida Georgia Line
Things A Man Oughta Know,Lainey Wilson
Wockesha,Moneybagg Yo
Arcade,Duncan Laurence
My Ex's Best Friend,Machine Gun Kelly X blackbear
Country Again,Thomas Rhett
Essence,Wizkid Featuring Justin Bieber & Tems
Whole Lotta Money,BIA Featuring Nicki Minaj
Single Saturday Night,Cole Swindell
Ain't Shit,Doja Cat
Motley Crew,Post Malone
Chasing After You,Ryan Hurd With Maren Morris
Beggin',Maneskin
If I Didn't Love You,Jason Aldean & Carrie Underwood
Pepas,Farruko
2055,Sleepy Hallow
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
Permission To Dance,BTS
Yonaguni,Bad Bunny
Todo de Ti,Rauw Alejandro
We Didn't Have Much,Justin Moore
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Wild Side,Normani Featuring Cardi B
You,Regard x Troye Sivan x Tate McRae
A-O-K,Tai Verdes
Love Again,Dua Lipa
Memory,Kane Brown X blackbear
I Was On A Boat That Day,Old Dominion
Don't Go Yet,Camila Cabello
SUVs (Black On Black),Jack Harlow & Pooh Shiesty
Tombstone,Rod Wave
You Should Probably Leave,Chris Stapleton
My Boy,Elvie Shane
Come Through,H_E_R_ Featuring Chris Brown
Straightenin,Migos
my_life,"J_ Cole, 21 Savage & Morray"
Memory I Don't Mess With,Lee Brice
Blame It On You,Jason Aldean
Cold As You,Luke Combs
NDA,Billie Eilish
Gyalis,Capella Grey
EPMD 2,Nas Featuring Eminem & EPMD
Repeat It,Lil Tecca & Gunna
You Time,Scotty McCreery
Buy Dirt,Jordan Davis Featuring Luke Bryan
AM,Nio Garcia X J Balvin X Bad Bunny
Woman,Doja Cat
Over The Top,Smiley Featuring Drake
Lose,KSI x Lil Wayne
Hats Off,"Lil Baby, Lil Durk & Travis Scott"
I Hope Ur Miserable Until Ur Dead,Nessa Barrett
Favorite Crime,Olivia Rodrigo
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Ball If I Want To,DaBaby
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino
Knowing You,Kenny Chesney
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign"
Outside,MO3 X OG Bobby Billions
Next Girl,Carly Pearce
Happier,Olivia Rodrigo
Twerkulator,City Girls
Fiel,"Los Legendarios, Wisin & Jhay Cortez"
Rare,Nas
Stay,The Kid LAROI & Justin Bieber
Good 4 U,Olivia Rodrigo
Levitating,Dua Lipa
Butter,BTS
Bad Habits,Ed Sheeran
Kiss Me More,Doja Cat Featuring SZA
Industry Baby,Lil Nas X & Jack Harlow
Montero (Call Me By Your Name),Lil Nas X
Deja Vu,Olivia Rodrigo
Save Your Tears,The Weeknd & Ariana Grande
Happier Than Ever,Billie Eilish
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Skate,Silk Sonic (Bruno Mars & Anderson _Paak)
Fancy Like,Walker Hayes
Blinding Lights,The Weeknd
Heartbreak Anniversary,Giveon
You Right,Doja Cat & The Weeknd
Rapstar,Polo G
Leave Before You Love Me,Marshmello X Jonas Brothers
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Without You,The Kid LAROI
Forever After All,Luke Combs
Drinkin' Beer_ Talkin' God_ Amen_,Chase Rice Featuring Florida Georgia Line
Glad You Exist,Dan + Shay
Lil Bit,Nelly & Florida Georgia Line
Permission To Dance,BTS
Astronaut In The Ocean,Masked Wolf
Late At Night,Roddy Ricch
Thot Shit,Megan Thee Stallion
Heat Waves,Glass Animals
Need To Know,Doja Cat
Telepatia,Kali Uchis
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Waves,Luke Bryan
Famous Friends,Chris Young + Kane Brown
Volvi,Aventura x Bad Bunny
Best Friend,Saweetie Featuring Doja Cat
Motley Crew,Post Malone
Single Saturday Night,Cole Swindell
Ain't Shit,Doja Cat
Wockesha,Moneybagg Yo
Whole Lotta Money,BIA Featuring Nicki Minaj
Beggin',Maneskin
Things A Man Oughta Know,Lainey Wilson
Chasing After You,Ryan Hurd With Maren Morris
My Ex's Best Friend,Machine Gun Kelly X blackbear
Mood,24kGoldn Featuring iann dior
Traitor,Olivia Rodrigo
Arcade,Duncan Laurence
Country Again,Thomas Rhett
If I Didn't Love You,Jason Aldean & Carrie Underwood
2055,Sleepy Hallow
Essence,Wizkid Featuring Justin Bieber & Tems
Yonaguni,Bad Bunny
Todo de Ti,Rauw Alejandro
One Too Many,Keith Urban Duet With P!nk
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
NDA,Billie Eilish
We Didn't Have Much,Justin Moore
Wild Side,Normani Featuring Cardi B
You,Regard x Troye Sivan x Tate McRae
Don't Go Yet,Camila Cabello
I Was On A Boat That Day,Old Dominion
Love Again,Dua Lipa
Pepas,Farruko
A-O-K,Tai Verdes
Memory,Kane Brown X blackbear
Getting Older,Billie Eilish
Billie Bossa Nova,Billie Eilish
Tombstone,Rod Wave
Oxytocin,Billie Eilish
Ball If I Want To,DaBaby
my_life,"J_ Cole, 21 Savage & Morray"
Blame It On You,Jason Aldean
Straightenin,Migos
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino
Over The Top,Smiley Featuring Drake
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
I Didn't Change My Number,Billie Eilish
Way Less Sad,AJR
Come Through,H_E_R_ Featuring Chris Brown
My Boy,Elvie Shane
Lost Cause,Billie Eilish
AM,Nio Garcia X J Balvin X Bad Bunny
Favorite Crime,Olivia Rodrigo
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Memory I Don't Mess With,Lee Brice
You Should Probably Leave,Chris Stapleton
Halley's Comet,Billie Eilish
My Future,Billie Eilish
Build A Bitch,Bella Poarch
Happier,Olivia Rodrigo
Hats Off,"Lil Baby, Lil Durk & Travis Scott"
Gyalis,Capella Grey
You Time,Scotty McCreery
Fiel,"Los Legendarios, Wisin & Jhay Cortez"
Outside,MO3 X OG Bobby Billions
From The Garden,Isaiah Rashad Featuring Lil Uzi Vert
Working,Tate McRae X Khalid
Butter,BTS
Industry Baby,Lil Nas X & Jack Harlow
Good 4 U,Olivia Rodrigo
Stay,The Kid LAROI & Justin Bieber
Levitating,Dua Lipa
Kiss Me More,Doja Cat Featuring SZA
Bad Habits,Ed Sheeran
Montero (Call Me By Your Name),Lil Nas X
Permission To Dance,BTS
Deja Vu,Olivia Rodrigo
Save Your Tears,The Weeknd & Ariana Grande
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
Fancy Like,Walker Hayes
If I Didn't Love You,Jason Aldean & Carrie Underwood
Rapstar,Polo G
Blinding Lights,The Weeknd
Heartbreak Anniversary,Giveon
You Right,Doja Cat & The Weeknd
Without You,The Kid LAROI
Astronaut In The Ocean,Masked Wolf
Forever After All,Luke Combs
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Leave Before You Love Me,Marshmello X Jonas Brothers
Lil Bit,Nelly & Florida Georgia Line
Single Saturday Night,Cole Swindell
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Thot Shit,Megan Thee Stallion
Late At Night,Roddy Ricch
Heat Waves,Glass Animals
Glad You Exist,Dan + Shay
Drinkin' Beer_ Talkin' God_ Amen_,Chase Rice Featuring Florida Georgia Line
Motley Crew,Post Malone
Ain't Shit,Doja Cat
Telepatia,Kali Uchis
Famous Friends,Chris Young + Kane Brown
Need To Know,Doja Cat
Beggin',Maneskin
Whole Lotta Money,BIA Featuring Nicki Minaj
Best Friend,Saweetie Featuring Doja Cat
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino
Don't Go Yet,Camila Cabello
Mood,24kGoldn Featuring iann dior
My Ex's Best Friend,Machine Gun Kelly X blackbear
Wild Side,Normani Featuring Cardi B
Wockesha,Moneybagg Yo
Traitor,Olivia Rodrigo
Chasing After You,Ryan Hurd With Maren Morris
Wants And Needs,Drake Featuring Lil Baby
Yonaguni,Bad Bunny
Todo de Ti,Rauw Alejandro
Country Again,Thomas Rhett
Waves,Luke Bryan
Things A Man Oughta Know,Lainey Wilson
Arcade,Duncan Laurence
